organization_name,person_name,end_date,source_url,organization_id,role,start_date
Inkatha Freedom Party (IFP),Adeelah Amardien,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7429,za.org.pa.www/core_organisation/82,Member,
Inkatha Freedom Party (IFP),Adeela Pringle,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7444,za.org.pa.www/core_organisation/82,Member,
Agang South Africa (AGANG SA),Adele Noreen Campbell,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5490,za.org.pa.www/core_organisation/780,Member,
Sindawonye Progressive Party (SPP),Adel Nontethelelo Skosana,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8510,za.org.pa.www/core_organisation/799,Member,
United Christian Democratic Party (UCDP),Adieba Botha,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8795,za.org.pa.www/core_organisation/84,Member,
"Freedom Front + (Vryheidsfront Plus, FF+)",Adriaan Van Der Merwe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9398,za.org.pa.www/core_organisation/83,Member,
Democratic Alliance (DA),Adriana Maria Randall,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6474,za.org.pa.www/core_organisation/78,Member,
African National Congress (ANC),Adrian John Williams,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1002,za.org.pa.www/core_organisation/77,Member,
Labour,Adrian John Williams,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1002,za.org.pa.www/core_organisation/194,Member,
Public Service and Administration,Adrian John Williams,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1002,za.org.pa.www/core_organisation/229,Member,
Ad Hoc Committee on Coordinated Oversight on Service Delivery,Adrian John Williams,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1002,za.org.pa.www/core_organisation/143,Member,
Economic Freedom Fighters (EFF),Advocate Fenya Maabane,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7138,za.org.pa.www/core_organisation/810,Member,
Democratic Alliance (DA),Agatha Wilhelmina Cilliers,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6470,za.org.pa.www/core_organisation/78,Member,
African People's Convention (APC),Agmat Kamaldien,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5187,za.org.pa.www/core_organisation/76,Member,
African National Congress (ANC),Agnes Christin Mashishi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752,za.org.pa.www/core_organisation/77,Member,
Basic Education,Agnes Christin Mashishi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752,za.org.pa.www/core_organisation/165,Member,
Human Settlements,Agnes Christin Mashishi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752,za.org.pa.www/core_organisation/183,Member,
Azanian People's Organisation (AZAPO),Agnes Mapule Nqandela,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5685,za.org.pa.www/core_organisation/80,Member,
Pan Africanist Congress of Azania (PAC),Agnes Mtabasindi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8270,za.org.pa.www/core_organisation/79,Member,
Select Committee On Land And Environmental Affairs,Agnes Daphne Noluthando Qikani,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1063,za.org.pa.www/core_organisation/103,Member,
NCOP Land and Environmental Affairs,Agnes Daphne Noluthando Qikani,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1063,za.org.pa.www/core_organisation/204,Chairperson,
NCOP Trade and International Relations,Agnes Daphne Noluthando Qikani,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1063,za.org.pa.www/core_organisation/210,Member,
"NCOP Women, Children and People with Disabilities",Agnes Daphne Noluthando Qikani,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1063,za.org.pa.www/core_organisation/211,Member,
NCOP Economic Development,Agnes Daphne Noluthando Qikani,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1063,za.org.pa.www/core_organisation/200,Alternate Member,
African National Congress (ANC),Agnes Daphne Noluthando Qikani,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1063,za.org.pa.www/core_organisation/77,Member,
National Freedom Party (NFP),Agnes Tracy Mnyama,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7962,za.org.pa.www/core_organisation/792,Member,
Democratic Alliance (DA),Agnes Tsamai,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6393,za.org.pa.www/core_organisation/78,Member,
African Christian Democratic Party (ACDP),Agostinho Antonio Perestrelo Pestana,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3920,za.org.pa.www/core_organisation/81,Member,
National Freedom Party (NFP),Agrinette Williams,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7827,za.org.pa.www/core_organisation/792,Member,
Truly Alliance (TA),Ahmed Cassim,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8630,za.org.pa.www/core_organisation/803,Member,
National Freedom Party (NFP),Ahmed Munzoor Shaik Emam,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7763,za.org.pa.www/core_organisation/792,Member,
Truly Alliance (TA),Ahmed Rasheed Ismail Amod,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8631,za.org.pa.www/core_organisation/803,Member,
National Freedom Party (NFP),Aidhika Roy,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7850,za.org.pa.www/core_organisation/792,Member,
African People's Convention (APC),Aifheli Jeofrey Mudzuli,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4753,za.org.pa.www/core_organisation/76,Member,
African People's Convention (APC),Akanyang Isaacs Molefe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5175,za.org.pa.www/core_organisation/76,Member,
Azanian People's Organisation (AZAPO),Akanyang Reginaldohr Brains Lekhula,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5798,za.org.pa.www/core_organisation/80,Member,
African People's Convention (APC),Akhona Jora,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5016,za.org.pa.www/core_organisation/76,Member,
United Democratic Movement (UDM),Akhona Mfaba,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9024,za.org.pa.www/core_organisation/74,Member,
Democratic Alliance (DA),Alan Joseph Fuchs,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6462,za.org.pa.www/core_organisation/78,Member,
Democratic Alliance (DA),Alan Ross Mcloughlin,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6232,za.org.pa.www/core_organisation/78,Member,
Democratic Alliance (DA),Alan Richard Winde,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1337,za.org.pa.www/core_organisation/78,Member,2014-03
National Freedom Party (NFP),Albert Boy Msimango,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7736,za.org.pa.www/core_organisation/792,Member,
Pan Africanist Congress of Azania (PAC),Albert Ditlhake Mokoena,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8109,za.org.pa.www/core_organisation/79,Member,
National Freedom Party (NFP),Albert Dumisani Mtshali,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7710,za.org.pa.www/core_organisation/792,Member,
Democratic Alliance (DA),Albert Theo Fritz,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1338,za.org.pa.www/core_organisation/78,Member,2014-03
Pan Africanist Congress of Azania (PAC),Albertinah Khathazile Masuku,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8122,za.org.pa.www/core_organisation/79,Member,
United Democratic Movement (UDM),Albertina Kholeka Mseleku,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9249,za.org.pa.www/core_organisation/74,Member,
African Independent Congress,Albertina Nonjiwu,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4087,za.org.pa.www/core_organisation/709,Member,
Pan Africanist Congress of Azania (PAC),Albert Lekotse Mashilwane,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8062,za.org.pa.www/core_organisation/79,Member,
Azanian People's Organisation (AZAPO),Albert Maarman,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5543,za.org.pa.www/core_organisation/80,Member,
Pan Africanist Congress of Azania (PAC),Albert Metsing,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8233,za.org.pa.www/core_organisation/79,Member,
Patriotic Movement of South Africa (PAMSA),Albert Mtutuzeli Liwani,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8459,za.org.pa.www/core_organisation/796,Member,
African National Congress (ANC),Albert Vusumuzi Mahlangu,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4220,za.org.pa.www/core_organisation/77,Member,
United Christian Democratic Party (UCDP),Alec Asia,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8842,za.org.pa.www/core_organisation/84,Member,
Independent Civic Organisation of South Africa (ICOSA),Alec Goliath,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7271,za.org.pa.www/core_organisation/785,Member,
"Freedom Front + (Vryheidsfront Plus, FF+)",Aletta Catharina Bester,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9320,za.org.pa.www/core_organisation/83,Member,
Democratic Alliance (DA),Aletta Catharina Johanna Visagie,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6615,za.org.pa.www/core_organisation/78,Member,
"Freedom Front + (Vryheidsfront Plus, FF+)",Aletta Catharina Nefdt,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9284,za.org.pa.www/core_organisation/83,Member,
Pan Africanist Congress of Azania (PAC),Aletta Itumeleng Makola,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8069,za.org.pa.www/core_organisation/79,Member,
Independent Civic Organisation of South Africa (ICOSA),Alexander Jonathan Isaacs,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7309,za.org.pa.www/core_organisation/785,Member,
Democratic Alliance (DA),Alexander Willem Frederik Middelberg,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6283,za.org.pa.www/core_organisation/78,Member,
Congress of the People (COPE),Alexandra Amanda Van Wyk,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5879,za.org.pa.www/core_organisation/75,Member,
African National Congress (ANC),Alexandra Jennifer Beukes,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4581,za.org.pa.www/core_organisation/77,Member,
African National Congress (ANC),Alexia Zintle Ndlazi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/841,za.org.pa.www/core_organisation/77,Member,
Communications,Alexia Zintle Ndlazi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/841,za.org.pa.www/core_organisation/169,Member,
Science and Technology,Alexia Zintle Ndlazi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/841,za.org.pa.www/core_organisation/237,Member,
Agang South Africa (AGANG SA),Aleymaria Malefu Maqena-Potsane,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5267,za.org.pa.www/core_organisation/780,Member,
Democratic Alliance (DA),Alfred Butiki Ncube,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6503,za.org.pa.www/core_organisation/78,Member,
Economic Freedom Fighters (EFF),Alfred Landwa Skhosana,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6779,za.org.pa.www/core_organisation/810,Member,
Inkatha Freedom Party (IFP),Alfred Mkhipheni Mpontshane,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/825,za.org.pa.www/core_organisation/82,Member,
Basic Education,Alfred Mkhipheni Mpontshane,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/825,za.org.pa.www/core_organisation/165,Member,
Higher Education,Alfred Mkhipheni Mpontshane,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/825,za.org.pa.www/core_organisation/181,Member,
Economic Freedom Fighters (EFF),Alfred Mthokozisi Myende,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6946,za.org.pa.www/core_organisation/810,Member,
African National Congress (ANC),Skuta Alfred Mtsi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1339,za.org.pa.www/core_organisation/77,Member,
Congress of the People (COPE),Alfred Mzwandile Nkosinkulu,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6192,za.org.pa.www/core_organisation/75,Member,
Economic Freedom Fighters (EFF),Alfred Norman Motsi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7163,za.org.pa.www/core_organisation/810,Member,
Democratic Alliance (DA),Alfred Sandile Ndlovu,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6516,za.org.pa.www/core_organisation/78,Member,
National Freedom Party (NFP),Alfred Thomas Xulu,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7893,za.org.pa.www/core_organisation/792,Member,
National Freedom Party (NFP),Alfred Tshepo Tapala,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7834,za.org.pa.www/core_organisation/792,Member,
African National Congress (ANC),Alice Nomvula Ponco,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1340,za.org.pa.www/core_organisation/77,Member,
Democratic Alliance (DA),Alicia Anne Lucas,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6497,za.org.pa.www/core_organisation/78,Member,
Economic Freedom Fighters (EFF),Alina Mantwa Kobo,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6740,za.org.pa.www/core_organisation/810,Member,
African National Congress (ANC),Alina Mfulo,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/782,za.org.pa.www/core_organisation/77,Member,
