name,pa_url,source_url,org_category,org_classification,popit_id
Health Committee,http://www.pa.org.za/organisation/health-committee/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/744,political,Kwazulu-Natal-Provincial-Legislature-Committee,za.org.pa.www/core_organisation/744
Higher Education,http://www.pa.org.za/organisation/higher-education/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/181,political,National Assembly Committees,za.org.pa.www/core_organisation/181
Home Affairs,http://www.pa.org.za/organisation/home-affairs/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/182,political,National Assembly Committees,za.org.pa.www/core_organisation/182
Human Settlement Committee,http://www.pa.org.za/organisation/human-settlement-committee/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/748,political,Kwazulu-Natal-Provincial-Legislature-Committee,za.org.pa.www/core_organisation/748
Human Settlements,http://www.pa.org.za/organisation/human-settlements/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/183,political,National Assembly Committees,za.org.pa.www/core_organisation/183
Intelligence Legislation,http://www.pa.org.za/organisation/intelligence-legislation/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/184,,Ad Hoc Committees,za.org.pa.www/core_organisation/184
Intelligence Services Control Amendment Bill,http://www.pa.org.za/organisation/intelligence-services-control-amendment-bill/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/185,,Ad Hoc Committees,za.org.pa.www/core_organisation/185
International Relations and Cooperation,http://www.pa.org.za/organisation/international-relations-and-cooperation/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/186,political,National Assembly Committees,za.org.pa.www/core_organisation/186
Joint Committee on Constitutional Review,http://www.pa.org.za/organisation/joint-committee-on-constitutional-review/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/135,political,Committee,za.org.pa.www/core_organisation/135
Joint Committee on Ethics and Members' Interests,http://www.pa.org.za/organisation/joint-committee-on-ethics-and-members-interests/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/89,political,Committee,za.org.pa.www/core_organisation/89
