SourceName,Role,TargetName
Transfer Secretaries,Transfer Secretary,DAIMLERCHRYSLER SA (PTY) LTD
Java Capital Trustees & Sponsors Pty Ltd,Designated Advisor,DELTA INTERNATIONAL PROPERTY HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,DELTA INTERNATIONAL PROPERTY HOLDINGS LIMITED
ARCAY MOELA SPONSOR (PTY) LTD,Sponsor,DELRAND RESOURCES LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,DELRAND RESOURCES LIMITED
DELOITTE & TOUCHE,Audit Firm,DELTA EMD LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,DELTA EMD LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,DELTA EMD LIMITED
Transfer Secretaries,Transfer Secretary,DEMINDEX RES CORP (SA) (PTY) LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,DEUTSCHE BANK AG LONDON
Computershare Investor Services (Pty) Ltd,Transfer Secretary,DEUTSCHE BANK AG LONDON
DELOITTE & TOUCHE,Audit Firm,BSI STEEL LIMITED
Sasfin Bank Ltd,Designated Advisor,BSI STEEL LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BSI STEEL LIMITED
Deloitte & Touche Sponsor Services (Pty) Ltd,Sponsor,COMMAND HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,COMMAND HOLDINGS LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,DISCOVERY LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,DISCOVERY LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,DISCOVERY LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,DISTELL GROUP LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,DISTELL GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,DISTELL GROUP LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,DISTRIB. AND WAREHOUSING NETWORK LD
Deloitte & Touche Sponsor Services (Pty) Ltd,Sponsor,DISTRIB. AND WAREHOUSING NETWORK LD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,DISTRIB. AND WAREHOUSING NETWORK LD
KPMG INCORPORATED,Audit Firm,DRDGOLD LIMITED
ONE CAPITAL (Pty) Ltd,Sponsor,DRDGOLD LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,DRDGOLD LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,CLIENTELE LIMITED
PricewaterhouseCoopers Corporate Finance (Pty) Ltd,Sponsor,CLIENTELE LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CLIENTELE LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,EAGLE BONDS ONE (PTY) LIMITED
ARCAY MOELA SPONSOR (PTY) LTD,Sponsor,ECSPONENT LIMITED 
Link Market Services SA (Pty) Ltd,Transfer Secretary,ECSPONENT LIMITED 
KPMG INCORPORATED,Audit Firm,EFFICIENT GROUP LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,EFFICIENT GROUP LIMITED
KPMG INCORPORATED,Audit Firm,ELB GROUP LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,ELB GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ELB GROUP LIMITED
GRANT THORNTON,Audit Firm,ELLIES HOLDINGS LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,ELLIES HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,ELLIES HOLDINGS LIMITED
DELOITTE & TOUCHE,Audit Firm,EDCON LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,EMIRA PROPERTY FUND
Rand Merchant Bank Corporate Finance Division,Sponsor,EMIRA PROPERTY FUND
Computershare Investor Services (Pty) Ltd,Transfer Secretary,EMIRA PROPERTY FUND
Transfer Secretaries,Transfer Secretary,EMIRA PROPERTY FUND
Mazars Inc.,Audit Firm,EOH HOLDINGS LIMITED
MERCHANTEC CAPITAL,Sponsor,EOH HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,EOH HOLDINGS LIMITED
RAND MERCHANT BANK,Debt Sponsor,EQSTRA CORPORATION LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,EQSTRA CORPORATION LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,CASHBUILD LIMITED
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,CASHBUILD LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CASHBUILD LIMITED
DELOITTE & TOUCHE,Audit Firm,EQSTRA HOLDINGS LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,EQSTRA HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,EQSTRA HOLDINGS LIMITED
Transfer Secretaries,Transfer Secretary,EQUIP RENTALS SECUR NO.1 (PTY) LTD
Mercantile Registrars Ltd,Transfer Secretary,BOE BANK LIMITED
GRANT THORNTON,Audit Firm,CONDUIT CAPITAL LIMITED
MERCHANTEC CAPITAL,Sponsor,CONDUIT CAPITAL LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CONDUIT CAPITAL LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,ERBACON INVESTMENT HOLDINGS LIMITED
PSG Capital Ltd,Designated Advisor,ERBACON INVESTMENT HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ERBACON INVESTMENT HOLDINGS LIMITED
KPMG INCORPORATED,Audit Firm,ESOR LIMITED
Vunani Corporate Finance (Pty) Ltd,Sponsor,ESOR LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ESOR LIMITED
ERNST & YOUNG INC,Audit Firm,EVRAZ HIGHVELD STEEL & VANADIUM LTD
JP Morgan Equities Ltd,Sponsor,EVRAZ HIGHVELD STEEL & VANADIUM LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,EVRAZ HIGHVELD STEEL & VANADIUM LTD
PRICEWATERHOUSECOOPERS INC,Audit Firm,EXXARO RESOURCES LIMITED
Deutsche Securities SA (Pty) Ltd,Sponsor,EXXARO RESOURCES LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,EXXARO RESOURCES LIMITED
ERNST & YOUNG INC,Audit Firm,CLOVER INDUSTRIES LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,CLOVER INDUSTRIES LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CLOVER INDUSTRIES LIMITED
Transfer Secretaries,Transfer Secretary,Collateralised Auto receivables Secur 1 (Pty) Ltd
Transfer Secretaries,Transfer Secretary,COMMISSIONER STREET NO 4 LIMITED
PKF SOUTH AFRICA,Audit Firm,CONSOLIDATED INFRASTRUCTURE GRP LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CONSOLIDATED INFRASTRUCTURE GRP LTD
RSM BETTY & DICKSON,Audit Firm,FAMOUS BRANDS LIMITED
THE STANDARD BANK OF SA LTD,Sponsor,FAMOUS BRANDS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,FAMOUS BRANDS LIMITED
Sasfin Bank Ltd,Sponsor,FERRUM CRESCENT LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,FERRUM CRESCENT LIMITED
STANDARD BANK OF SOUTH AFRICA LTD,Debt Sponsor,CPV POWER PLANT NO.1 BOND SPV (RF) LTD
Transfer Secretaries,Transfer Secretary,CPV POWER PLANT NO.1 BOND SPV (RF) LTD
PRICEWATERHOUSECOOPERS INC,Audit Firm,COUNTRY BIRD HOLDINGS LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,COUNTRY BIRD HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,COUNTRY BIRD HOLDINGS LIMITED
KPMG INCORPORATED,Audit Firm,FINBOND GROUP LIMITED
GRINDROD BANK LIMITED,Sponsor,FINBOND GROUP LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,FINBOND GROUP LIMITED
SIZWENTSALUBAGOBODO INCORPORATED,Audit Firm,DATACENTRIX HOLDINGS LIMITED
MERCHANTEC CAPITAL,Sponsor,DATACENTRIX HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,DATACENTRIX HOLDINGS LIMITED
DELOITTE & TOUCHE,Audit Firm,DATATEC LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,DATATEC LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,DATATEC LIMITED
Nedbank Capital a division of Nedbanl Limited,Debt Sponsor,DELTA PROPERTY FUND LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,DELTA PROPERTY FUND LIMITED
BDO SOUTH AFRICA INCORPORATED,Audit Firm,DELTA PROPERTY FUND LIMITED
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,DELTA PROPERTY FUND LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,DELTA PROPERTY FUND LIMITED
River Sponsors (Pty) Ltd,Sponsor,FIRESTONE ENERGY LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,FIRESTONE ENERGY LIMITED
STANDARD BANK OF SOUTH AFRICA LTD,Debt Sponsor,DELTA PROPERTY FUND LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,DENEL SOC LIMITED
Strate,Transfer Secretary,DEUTSCHE BANK AG
Computershare Investor Services (Pty) Ltd,Transfer Secretary,FIRSTRAND BANK LIMITED
DELOITTE & TOUCHE,Audit Firm,FIRSTRAND LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,FIRSTRAND LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,FIRSTRAND LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,FIRSTRAND LIMITED
Transfer Secretaries,Transfer Secretary,DEVELOPMENT BANK OF SOUTHERN AFRICA
PRICEWATERHOUSECOOPERS LLP,Audit Firm,DIAMONDCORP PLC
MERCHANTEC CAPITAL,Designated Advisor,FONEWORX HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,FONEWORX HOLDINGS LIMITED
Mazars Inc.,Audit Firm,DIGICORE HOLDINGS LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,DIPULA INCOME FUND LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,DIPULA INCOME FUND LIMITED
Transfer Secretaries,Transfer Secretary,FINTECH RECEIVABLES 2 (RF) LIMITED
Sasfin Bank Ltd,Sponsor,FORBES & MANHATTAN COAL CORP
Computershare Investor Services (Pty) Ltd,Transfer Secretary,FORBES & MANHATTAN COAL CORP
KPMG INCORPORATED,Audit Firm,FOUNTAINHEAD PROPERTY TRUST
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,FOUNTAINHEAD PROPERTY TRUST
Computershare Investor Services (Pty) Ltd,Transfer Secretary,FOUNTAINHEAD PROPERTY TRUST
Transfer Secretaries,Transfer Secretary,DURBAN
KPMG INCORPORATED,Audit Firm,GIJIMA GROUP LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,GIJIMA GROUP LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,GIJIMA GROUP LIMITED
DELOITTE LLP,Audit Firm,GLENCORE PLC
ABSA CAPITAL,Sponsor,GLENCORE PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,GLENCORE PLC
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,FARITEC HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,FARITEC HOLDINGS LIMITED
DELOITTE & TOUCHE,Audit Firm,GOGLOBAL PROPERTIES LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,GOGLOBAL PROPERTIES LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,GOGLOBAL PROPERTIES LIMITED
KPMG INCORPORATED,Audit Firm,GOLD FIELDS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,GOLD FIELDS LIMITED
PSG Capital Ltd,Sponsor,EASTERN PLATINUM LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,EASTERN PLATINUM LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,GOLIATH GOLD MINING LIMITED
MERCHANTEC CAPITAL,Sponsor,GOLIATH GOLD MINING LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,GOLIATH GOLD MINING LIMITED
GRANT THORNTON,Audit Firm,GOODERSON LEISURE CORPORATION LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,GOODERSON LEISURE CORPORATION LTD
Transfer Secretaries,Transfer Secretary,EKURHULENI METRO MUNICIPLALITY
PRICEWATERHOUSECOOPERS INC,Audit Firm,GIYANI GOLD CORPORATION
Sasfin Bank Ltd,Sponsor,GIYANI GOLD CORPORATION
Computershare Investor Services (Pty) Ltd,Transfer Secretary,GIYANI GOLD CORPORATION
Transfer Secretaries,Transfer Secretary,FINTECH RECEIVABLES 2 (RF) LIMITED
Transfer Secretaries,Transfer Secretary,FREESTONE FINANCE CO (PTY) LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,GOLD FIELDS LIMITED1
Transfer Secretaries,Transfer Secretary,GRAINFLOW INVESTMENTS LIMITED
DELOITTE & TOUCHE,Audit Firm,GRINDROD LIMITED
GRINDROD BANK LIMITED,Sponsor,GRINDROD LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,GRINDROD LIMITED
INVESTEC BANK LTD,Debt Sponsor,FOX STREET 1 (RF) LIMITED
Transfer Secretaries,Transfer Secretary,FOX STREET 1 (RF) LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,HARMONY GOLD MINING COMPANY LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,HARMONY GOLD MINING COMPANY LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,EQSTRA HOLDINGS LIMITED
PKF SOUTH AFRICA,Audit Firm,HOSKEN CONSOLIDATED INVESTMENTS LTD
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,HOSKEN CONSOLIDATED INVESTMENTS LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,HOSKEN CONSOLIDATED INVESTMENTS LTD
Moore Stephen BKV Incorporated,Audit Firm,EQUITES PROPERTY FUND LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,EQUITES PROPERTY FUND LIMITED
Deloitte & Touche Sponsor Services (Pty) Ltd,Sponsor,EQUITES PROPERTY FUND LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,EQUITES PROPERTY FUND LIMITED
ERNST & YOUNG INC,Audit Firm,HOWDEN AFRICA HOLDINGS LIMITED
PricewaterhouseCoopers Corporate Finance (Pty) Ltd,Sponsor,HOWDEN AFRICA HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,HOWDEN AFRICA HOLDINGS LIMITED
Transfer Secretaries,Transfer Secretary,ERGO MINING OPERATIONS (PTY) LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ESORFRANKI LIMITED
Transfer Secretaries,Transfer Secretary,ETHEKWINI MUNICIPALITY
GRANT THORNTON,Audit Firm,HUDACO INDUSTRIES LIMITED
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,HUDACO INDUSTRIES LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,HUDACO INDUSTRIES LIMITED
BDO SOUTH AFRICA INCORPORATED,Audit Firm,HUGE GROUP LIMITED
Transfer Secretaries,Transfer Secretary,GREENHOUSE FUNDING (RF) LIMITED
BDO SOUTH AFRICA INCORPORATED,Audit Firm,FAIRVEST PROPERTY HOLDINGS LIMITED
PSG Capital Ltd,Sponsor,FAIRVEST PROPERTY HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,FAIRVEST PROPERTY HOLDINGS LIMITED
Transfer Secretaries,Transfer Secretary,GRAYSTON CONDUIT 1 (RF) LTD
PRICEWATERHOUSECOOPERS INC,Audit Firm,GROUP FIVE LIMITED
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,GROUP FIVE LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,GROUP FIVE LIMITED
GRANT THORNTON,Audit Firm,HYPROP INVESTMENTS LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,HYPROP INVESTMENTS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,HYPROP INVESTMENTS LIMITED
KPMG INCORPORATED,Audit Firm,HOSPITALITY PROPERTY FUND LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,HOSPITALITY PROPERTY FUND LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,GROUP FIVE LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,HARMONY GOLD MINING COMPANY LIMITED
Transfer Secretaries,Transfer Secretary,Humulani Marketing (Pty) Ltd
Transfer Secretaries,Transfer Secretary,Humulani Investments (Pty) Ltd
RAND MERCHANT BANK,Debt Sponsor,IDWALA INDUSTRIAL HOLDINGS LTD
Strate,Transfer Secretary,IDWALA INDUSTRIAL HOLDINGS LTD
DELOITTE & TOUCHE,Audit Firm,FORTRESS INCOME FUND LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,FORTRESS INCOME FUND LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,FORTRESS INCOME FUND LIMITED
Transfer Secretaries,Transfer Secretary,IKHAYA RMBS 2 LIMITED
DELOITTE & TOUCHE,Audit Firm,ILIAD AFRICA LIMITED
Bridge Capital Advisors  (Pty) Ltd,Sponsor,ILIAD AFRICA LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,ILIAD AFRICA LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,IMPALA PLATINUM HOLDINGS LIMITED
Deutsche Securities SA (Pty) Ltd,Sponsor,IMPALA PLATINUM HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,IMPALA PLATINUM HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,FIRSTRAND BANK LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,Imperial Bank Limited
Transfer Secretaries,Transfer Secretary,IMPERIAL GROUP LIMITED
DELOITTE & TOUCHE,Audit Firm,IMPERIAL HOLDINGS LIMITED
Merrill Lynch SA (Pty) Limited,Sponsor,IMPERIAL HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,IMPERIAL HOLDINGS LIMITED
DELOITTE & TOUCHE,Audit Firm,ILLOVO SUGAR LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,ILLOVO SUGAR LIMITED
KPMG INCORPORATED,Audit Firm,INDEQUITY GROUP LIMITED
KPMG Services (Pty) Ltd,Sponsor,INDEQUITY GROUP LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,INDEQUITY GROUP LIMITED
Transfer Secretaries,Transfer Secretary,INDWA INVESTMENTS LIMITED
RAND MERCHANT BANK,Debt Sponsor,FORTRESS INCOME FUND LIMITED
Transfer Secretaries,Transfer Secretary,FORTRESS INCOME FUND LIMITED
Mazars Inc.,Audit Firm,INFRASORS HOLDINGS LIMITED
Bridge Capital Advisors  (Pty) Ltd,Sponsor,INFRASORS HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,INFRASORS HOLDINGS LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,INSIMBI REFRACTORY & ALLOY SUP LTD
Bridge Capital Advisors  (Pty) Ltd,Sponsor,INSIMBI REFRACTORY & ALLOY SUP LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,INSIMBI REFRACTORY & ALLOY SUP LTD
Transfer Secretaries,Transfer Secretary,FRESCO 2 INVESTMENTS LIMITED
Mazars Inc.,Audit Firm,INGENUITY PROPERTY INVESTMENTS LTD
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,INGENUITY PROPERTY INVESTMENTS LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,INGENUITY PROPERTY INVESTMENTS LTD
Transfer Secretaries,Transfer Secretary,FRESCO / LEXPUB 15 INVESTMENTS LTD
KPMG INCORPORATED,Audit Firm,INTERWASTE HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,INTERWASTE HOLDINGS LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,INTU PROPERTIES PLC
Merrill Lynch SA (Pty) Limited,Sponsor,INTU PROPERTIES PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,INTU PROPERTIES PLC
HOWARTH LEVETON BONER,Audit Firm,GLOBAL ASSET MANAGEMENT LTD
ARCAY MOELA SPONSOR (PTY) LTD,Designated Advisor,GLOBAL ASSET MANAGEMENT LTD
Link Market Services SA (Pty) Ltd,Transfer Secretary,GLOBAL ASSET MANAGEMENT LTD
Transfer Secretaries,Transfer Secretary,GOLDMAN SACHS INTERNATIONAL
ERNST & YOUNG INC,Audit Firm,GRAND PARADE INVESTMENTS LIMITED
PSG Capital Ltd,Sponsor,GRAND PARADE INVESTMENTS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,GRAND PARADE INVESTMENTS LIMITED
KPMG INCORPORATED,Audit Firm,INVESTEC AUSTRALIA PROPERTY FUND
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,INVESTEC AUSTRALIA PROPERTY FUND
Computershare Investor Services (Pty) Ltd,Transfer Secretary,INVESTEC AUSTRALIA PROPERTY FUND
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,INVESTEC LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,INVESTEC LIMITED
KPMG INCORPORATED,Audit Firm,INVESTEC BANK LTD
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,INVESTEC BANK LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,INVESTEC BANK LTD
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,INVESTEC PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,INVESTEC PLC
GRANT THORNTON,Audit Firm,IPSA GROUP PLC
PSG Capital Ltd,Sponsor,IPSA GROUP PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,IPSA GROUP PLC
Transfer Secretaries,Transfer Secretary,GROWTHPOINT PROPERTIES LIMITED
ERNST & YOUNG INC,Audit Firm,ITALTILE LIMITED
MERCHANTEC CAPITAL,Sponsor,ITALTILE LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ITALTILE LIMITED
KPMG INCORPORATED,Audit Firm,HOLDSPORT LIMITED
UBS Corporate Finance (South Africa) (Pty) Ltd,Sponsor,HOLDSPORT LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,HOLDSPORT LIMITED
Transfer Secretaries,Transfer Secretary,HOME OBLIGORS MORT ENH SEC PTY LTD
KPMG INCORPORATED,Audit Firm,GROWTHPOINT PROPERTIES LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,GROWTHPOINT PROPERTIES LIMITED
DELOITTE & TOUCHE,Audit Firm,INVICTA HOLDINGS LIMITED
Deloitte & Touche Sponsor Services (Pty) Ltd,Sponsor,INVICTA HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,INVICTA HOLDINGS LIMITED
Mazars Inc.,Audit Firm,ISA HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,ISA HOLDINGS LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,GRINDROD INDEX TRACKER MAN RF PTY LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,GRINDROD INDEX TRACKER MAN RF PTY LTD
Sasfin Bank Ltd,Sponsor,GREAT BASIN GOLD LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,GREAT BASIN GOLD LIMITED
RAND MERCHANT BANK,Debt Sponsor,HOSPITALITY PROPERTY FUND LIMITED
DELOITTE & TOUCHE,Audit Firm,JD GROUP LIMITED
PSG Capital Ltd,Sponsor,JD GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,JD GROUP LIMITED
KPMG INCORPORATED,Audit Firm,JSE LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,JSE LIMITED
ERNST & YOUNG INC,Audit Firm,JASCO ELECTRONICS HOLDINGS LIMITED
GRINDROD BANK LIMITED,Sponsor,JASCO ELECTRONICS HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,JASCO ELECTRONICS HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,JD GROUP LIMITED
DELOITTE & TOUCHE,Audit Firm,KAP INDUSTRIAL HOLDINGS LIMITED
PSG Capital Ltd,Sponsor,KAP INDUSTRIAL HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,KAP INDUSTRIAL HOLDINGS LIMITED
PKF SOUTH AFRICA,Audit Firm,KAYDAV GROUP LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,KAYDAV GROUP LIMITED
KPMG INCORPORATED,Audit Firm,KEATON ENERGY HOLDINGS LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,KEATON ENERGY HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,KEATON ENERGY HOLDINGS LIMITED
Transfer Secretaries,Transfer Secretary,KELLY CORPORATE FINANCE (PTY) LTD
GRANT THORNTON,Audit Firm,KELLY GROUP LIMITED
PSG Capital Ltd,Sponsor,KELLY GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,KELLY GROUP LIMITED
River Sponsors (Pty) Ltd,Designated Advisor,KIBO MINING PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,KIBO MINING PLC
PRICEWATERHOUSECOOPERS INC,Audit Firm,HULAMIN LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,HULAMIN LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,HULAMIN LIMITED
DELOITTE & TOUCHE,Audit Firm,KUMBA IRON ORE LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,KUMBA IRON ORE LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,KUMBA IRON ORE LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,HWANGE COLLIERY COMPANY LIMITED
THE STANDARD BANK OF SA LTD,Debt Sponsor,HYPROP INVESTMENTS LIMITED
Transfer Secretaries,Transfer Secretary,HYPROP INVESTMENTS LIMITED
NEXIA SAB & T,Audit Firm,LABAT AFRICA LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,LABAT AFRICA LIMITED
Transfer Secretaries,Transfer Secretary,IKHAYA RMBS 1 LTD
Transfer Secretaries,Transfer Secretary,LEBOWA ADMINISTRATION BOARD
Transfer Secretaries,Transfer Secretary,LAND & AGRICULTURAL DEV BANK OF SA
PRICEWATERHOUSECOOPERS INC,Audit Firm,LEWIS GROUP LIMITED
UBS Corporate Finance (South Africa) (Pty) Ltd,Sponsor,LEWIS GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,LEWIS GROUP LIMITED
ABSA CAPITAL,Debt Sponsor,LEWIS GROUP LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,LIBERTY HOLDINGS LIMITED
