SourceName,Role,TargetName
Transfer Secretaries,Transfer Secretary,Airports Company South Africa SOC Ltd
PRICEWATERHOUSECOOPERS INC,Audit Firm,ALEXANDER FORBES PREF SHARE INV LTD
Rand Merchant Bank Corporate Finance Division,Sponsor,ALEXANDER FORBES PREF SHARE INV LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ALEXANDER FORBES PREF SHARE INV LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ALLIANCE MINING CORPORATION LIMITED
KPMG INCORPORATED,Audit Firm,ALERT STEEL HOLDINGS LIMITED
Exchange Sponsors (2008)(Pty) Ltd,Designated Advisor,ALERT STEEL HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ALERT STEEL HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,AMBER HOUSE FUND 1 (RF) LIMITED
KPMG INCORPORATED,Audit Firm,ALLIED ELECTRONICS CORPORATION LTD
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,ALLIED ELECTRONICS CORPORATION LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ALLIED ELECTRONICS CORPORATION LTD
Mazars Inc.,Audit Firm,AMALGAMATED ELECTRONIC CORP LTD
Link Market Services SA (Pty) Ltd,Transfer Secretary,AMALGAMATED ELECTRONIC CORP LTD
THE STANDARD BANK OF SA LTD,Debt Sponsor,AMBER HOUSE FUND 2 (RF) LTD
Transfer Secretaries,Transfer Secretary,AMBER HOUSE FUND 2 (RF) LTD
BDO SOUTH AFRICA INCORPORATED,Audit Firm,ANDULELA INVESTMENT HOLDINGS LTD
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,ANDULELA INVESTMENT HOLDINGS LTD
Link Market Services SA (Pty) Ltd,Transfer Secretary,ANDULELA INVESTMENT HOLDINGS LTD
DELOITTE & TOUCHE,Audit Firm,ANGLO AMERICAN PLAT LTD
Rand Merchant Bank Corporate Finance Division,Sponsor,ANGLO AMERICAN PLAT LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ANGLO AMERICAN PLAT LTD
DELOITTE & TOUCHE,Audit Firm,ANGLO AMERICAN PLC
UBS Corporate Finance (South Africa) (Pty) Ltd,Sponsor,ANGLO AMERICAN PLC
Link Market Services SA (Pty) Ltd,Transfer Secretary,ANGLO AMERICAN PLC
ERNST & YOUNG INC,Audit Firm,ANGLOGOLD ASHANTI LIMITED
UBS Corporate Finance (South Africa) (Pty) Ltd,Sponsor,ANGLOGOLD ASHANTI LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ANGLOGOLD ASHANTI LIMITED
PKF SOUTH AFRICA,Audit Firm,ANNUITY PROPERTIES LTD
Link Market Services SA (Pty) Ltd,Transfer Secretary,ANNUITY PROPERTIES LTD
Rand Merchant Bank Corporate Finance Division,Sponsor,AQUARIUS PLATINUM LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,AQUARIUS PLATINUM LIMITED
PKF SOUTH AFRICA,Audit Firm,ARB HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ARB HOLDINGS LIMITED
BDO SOUTH AFRICA INCORPORATED,Audit Firm,ANSYS LIMITED
Exchange Sponsors (2008)(Pty) Ltd,Designated Advisor,ANSYS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ANSYS LIMITED
DELOITTE & TOUCHE,Audit Firm,ARCELORMITTAL SOUTH AFRICA LIMITED
JP Morgan Equities Ltd,Sponsor,ARCELORMITTAL SOUTH AFRICA LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ARCELORMITTAL SOUTH AFRICA LIMITED
GRANT THORNTON,Audit Firm,ARGENT INDUSTRIAL LIMITED
PSG Capital Ltd,Sponsor,ARGENT INDUSTRIAL LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,ARGENT INDUSTRIAL LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,ASCENDIS HEALTH LIMITED
